message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,payment,"The message contains important account or payment information from a verified bank, which requires immediate attention.",0.92,message_0243;message_0263;message_0407
msg_091,mute,scam,"Message requests OTP/PIN/verification details under urgency pressure, a classic phishing pattern.",0.95,message_0238;message_0094;message_0024
msg_090,digest,unknown,"The message is a casual inquiry with no urgency, and the user can respond later.",0.5,none
msg_048,mute,spam,"The message is a repetitive admin notice that resembles previous spam-like messages, and the user has dismissed similar messages before.",0.85,message_0151;message_0385
msg_040,mute,forward,The message is a repetitive forward that the user has previously ignored and dismissed.,0.85,message_0132;message_0080;message_0265
msg_075,notify,business_update,This is a relevant update regarding the user's ride booking that requires immediate attention.,0.88,message_0206;message_0205
msg_005,notify,urgent,The message contains a time-sensitive request regarding a specific item that the user may want to act on immediately.,0.88,message_0224;message_0050;message_0065
msg_104,mute,unknown,"The user has previously dismissed similar messages from this sender without engagement, indicating low value.",0.85,message_0224;message_0050;message_0383
msg_069,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0014;message_0123;message_0193;message_0135;message_0077
msg_107,mute,scam,Message tries to instruct the router directly while requesting sensitive info or applying payment pressure; treated as scam regardless of its claimed framing.,0.95,message_0023;message_0024;message_0147
msg_070,mute,scam,"The message is a scam attempt related to OTP verification, similar to past messages that were reported or dismissed.",0.92,message_0369;message_0023;message_0024
msg_003,notify,business_update,"The message provides an important update about a delivery expected today, which is relevant to the user's current business relationship.",0.92,message_0004;message_0239;message_0297;message_0031;message_0400
msg_099,digest,event,The message contains useful information for a future meeting but is not urgent enough to interrupt the user now.,0.85,message_0227;message_0219
msg_008,digest,business_update,"The message is a request for feedback on a recent product purchase, which is relevant but not urgent.",0.85,message_0296;message_0072;message_0071
msg_092,digest,business_update,"The message is a routine update about the monthly card statement, which is useful but not urgent.",0.85,message_0102;message_0276
msg_060,notify,urgent,A trusted group admin sent a time-sensitive reminder about internship approval forms that require immediate action.,0.92,message_0284;message_0176
msg_004,notify,urgent,"The message is a health-related update from a verified business that the user has an upcoming appointment with, requiring immediate attention.",0.92,message_0245;message_0047;message_0005
